ticker,base,quote,exchange,price,ask,bid,spread,volume
powr-btc,powr,btc,binance,1.518e-05,1.52e-05,1.515e-05,4.999999999999952e-08,3841769.0
powr-eth,powr,eth,binance,0.00056081,0.00056597,0.0005561,9.869999999999931e-06,274458.0
ark-btc,ark,btc,binance,6.91e-05,6.93e-05,6.92e-05,1.0000000000000243e-07,2412266.95
ark-eth,ark,eth,binance,0.002556,0.002562,0.002548,1.4000000000000123e-05,236039.14
yoyo-eth,yoyo,eth,binance,9.313e-05,9.395e-05,9.23e-05,1.6499999999999994e-06,1070238.0
xrp-btc,xrp,btc,binance,4.479e-05,4.482e-05,4.476e-05,6.000000000000281e-08,129763633.0
xrp-eth,xrp,eth,binance,0.00165206,0.00165184,0.00164885,2.989999999999807e-06,5228091.0
mod-btc,mod,btc,binance,0.0,0.0,0.0,0.0,0.0
mod-eth,mod,eth,binance,0.0,0.0,0.0,0.0,0.0
enj-btc,enj,btc,binance,2.055e-05,2.055e-05,2.052e-05,3.000000000000141e-08,71542048.0
enj-eth,enj,eth,binance,0.00075313,0.00076104,0.00075382,7.220000000000056e-06,5704318.0
storj-btc,storj,btc,binance,3.325e-05,3.335e-05,3.325e-05,9.999999999999565e-08,1228012.0
storj-eth,storj,eth,binance,0.001228,0.0012454,0.0012236,2.1799999999999988e-05,135049.0
bnb-usd,bnb,usd,binance,21.0312,21.0427,21.0155,0.027200000000000557,3760905.29
ven-bnb,ven,bnb,binance,0.0,0.0,0.0,0.0,0.0
yoyo-bnb,yoyo,bnb,binance,0.000877,0.000873,0.000855,1.8000000000000004e-05,909675.0
powr-bnb,powr,bnb,binance,0.0052,0.00521,0.00515,6.000000000000016e-05,260665.1
ven-btc,ven,btc,binance,0.0,0.0,0.0,0.0,0.0
ven-eth,ven,eth,binance,0.0,0.0,0.0,0.0,0.0
kmd-btc,kmd,btc,binance,0.0001667,0.0001673,0.0001666,6.999999999999899e-07,801997.2
kmd-eth,kmd,eth,binance,0.006124,0.00617,0.006132,3.799999999999984e-05,69403.87
nuls-bnb,nuls,bnb,binance,0.03088,0.03127,0.03103,0.00024000000000000063,126621.8
rcn-btc,rcn,btc,binance,4.07e-06,4.07e-06,4.06e-06,9.999999999999904e-09,66999624.0
rcn-eth,rcn,eth,binance,0.00014867,0.00015082,0.00014931,1.5100000000000042e-06,3684774.0
rcn-bnb,rcn,bnb,binance,0.001389,0.001392,0.001383,9.00000000000011e-06,7249277.0
nuls-btc,nuls,btc,binance,9.1e-05,9.136e-05,9.1e-05,3.6000000000000333e-07,4185480.0
nuls-eth,nuls,eth,binance,0.00334125,0.00339351,0.00333329,6.022000000000015e-05,126709.0
rdn-btc,rdn,btc,binance,3.739e-05,3.755e-05,3.744e-05,1.0999999999999725e-07,1146251.0
rdn-eth,rdn,eth,binance,0.0013861,0.0013988,0.0013754,2.3400000000000027e-05,199182.0
rdn-bnb,rdn,bnb,binance,0.0128,0.01281,0.01276,4.99999999999997e-05,112649.8
xmr-btc,xmr,btc,binance,0.011034,0.011031,0.011016,1.4999999999999389e-05,36794.174
xmr-eth,xmr,eth,binance,0.40648,0.40688,0.40496,0.0019200000000000328,4273.138
dlt-bnb,dlt,bnb,binance,0.0045,0.00454,0.0045,4.0000000000000105e-05,2067290.3
wtc-bnb,wtc,bnb,binance,0.0941,0.0942,0.0937,0.0005000000000000004,54423.99
dlt-btc,dlt,btc,binance,1.324e-05,1.325e-05,1.322e-05,2.999999999999971e-08,20780022.0
dlt-eth,dlt,eth,binance,0.00048573,0.0004881,0.00048654,1.5600000000000054e-06,1520717.0
amb-btc,amb,btc,binance,5.21e-06,5.22e-06,5.2e-06,1.999999999999981e-08,17012342.0
amb-eth,amb,eth,binance,0.00019145,0.00019271,0.00019027,2.4399999999999834e-06,830969.0
amb-bnb,amb,bnb,binance,0.00175,0.00179,0.00177,1.9999999999999836e-05,833744.2
bcc-eth,bcc,eth,binance,0.0,0.0,0.0,0.0,0.0
bcc-usd,bcc,usd,binance,0.0,0.0,0.0,0.0,0.0
bcc-bnb,bcc,bnb,binance,0.0,0.0,0.0,0.0,0.0
bat-btc,bat,btc,binance,5.299e-05,5.298e-05,5.286e-05,1.1999999999999885e-07,53510126.0
bat-eth,bat,eth,binance,0.00194108,0.00194871,0.00194179,6.919999999999886e-06,2906332.0
bat-bnb,bat,bnb,binance,0.01805,0.01809,0.01805,3.999999999999837e-05,4003295.4
bcpt-btc,bcpt,btc,binance,6e-06,6.02e-06,5.98e-06,3.999999999999962e-08,13944167.0
bcpt-eth,bcpt,eth,binance,0.000221,0.00022539,0.00021995,5.440000000000002e-06,839776.0
bcpt-bnb,bcpt,bnb,binance,0.00206,0.00206,0.00203,3.000000000000008e-05,976984.8
arn-btc,arn,btc,binance,5.382e-05,5.386e-05,5.375e-05,1.1000000000000403e-07,3747779.0
arn-eth,arn,eth,binance,0.00197637,0.00198793,0.00197481,1.3120000000000145e-05,344106.0
gvt-btc,gvt,btc,binance,0.0004302,0.0004301,0.000429,1.0999999999999725e-06,253496.3
gvt-eth,gvt,eth,binance,0.015792,0.016083,0.015808,0.00027500000000000094,33011.92
cdt-btc,cdt,btc,binance,1.15e-06,1.16e-06,1.15e-06,9.999999999999904e-09,31422915.0
cdt-eth,cdt,eth,binance,4.228e-05,4.27e-05,4.214e-05,5.600000000000014e-07,4517658.0
